car_owner;propert_owner;children;type_income;education;marital_status;housing_type;employed_days;mobile_phone;work_phone;phone;email_id;family_members;target
N;Y;0;Working;Lower secondary;Single / not married;Rented apartment;-4770;1;0;0;0;2;1
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;1;1;2;1
N;N;0;Working;Higher education;Single / not married;House / apartment;-2394;1;0;0;0;1;1
Y;N;1;Working;Secondary / secondary special;Married;House / apartment;-384;1;1;0;0;3;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-3647;1;0;0;0;2;1
Y;N;0;State servant;Secondary / secondary special;Single / not married;House / apartment;-1546;1;0;0;0;2;1
Y;Y;0;Working;Higher education;Married;House / apartment;-808;1;0;0;0;2;1
Y;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;1
Y;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-1285;1;0;1;0;2;1
Y;Y;0;Commercial associate;Higher education;Separated;House / apartment;-855;1;1;1;0;1;1
Y;N;2;State servant;Higher education;Married;House / apartment;-7369;1;1;1;0;4;1
N;Y;0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;365243;1;0;0;0;1;1
N;Y;1;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-2269;1;0;1;0;3;1
N;Y;1;Pensioner;Secondary / secondary special;Single / not married;House / apartment;-2269;1;0;1;0;3;1
N;Y;1;Commercial associate;Secondary / secondary special;Married;House / apartment;-4114;1;0;0;0;3;1
Y;N;1;Commercial associate;Secondary / secondary special;Married;House / apartment;-1161;1;0;0;0;3;1
N;N;0;Working;Secondary / secondary special;Married;House / apartment;-7288;1;1;0;0;2;1
N;N;0;Commercial associate;Incomplete higher;Single / not married;House / apartment;-166;1;1;1;0;1;1
Y;N;1;Working;Secondary / secondary special;Married;House / apartment;-866;1;0;0;0;3;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-564;1;0;0;1;2;1
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-3366;1;0;0;0;2;1
Y;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-2150;1;1;0;0;2;1
N;N;1;Working;Secondary / secondary special;Married;House / apartment;-1458;1;0;0;0;3;1
N;N;1;Working;Secondary / secondary special;Married;House / apartment;-1458;1;0;0;0;1;1
N;N;2;Working;Secondary / secondary special;Married;House / apartment;-8369;1;0;0;0;4;1
N;N;2;Working;Secondary / secondary special;Single / not married;House / apartment;-8369;1;0;0;0;4;1
N;Y;0;Pensioner;Higher education;Separated;House / apartment;365243;1;0;0;0;1;1
N;Y;0;Pensioner;Higher education;Separated;House / apartment;365243;1;0;0;0;1;1
N;Y;0;Pensioner;Higher education;Separated;House / apartment;365243;1;0;0;0;1;1
N;N;0;Working;Secondary / secondary special;Single / not married;Municipal apartment;-508;1;0;0;0;1;1
N;N;0;Working;Secondary / secondary special;Single / not married;Municipal apartment;-508;1;0;0;0;1;1
N;Y;0;Pensioner;Higher education;Married;House / apartment;365243;1;0;0;0;2;1
N;Y;0;Pensioner;Lower secondary;Married;House / apartment;365243;1;0;0;0;2;1
N;Y;0;Pensioner;Secondary / secondary special;Married;Municipal apartment;365243;1;0;1;0;2;1
N;Y;1;Commercial associate;Higher education;Married;House / apartment;-1567;1;0;0;1;3;1
N;N;1;Working;Secondary / secondary special;Single / not married;House / apartment;-137;1;0;0;0;2;1
N;Y;1;Working;Secondary / secondary special;Single / not married;House / apartment;-137;1;0;0;0;2;1
Y;Y;0;Working;Higher education;Married;House / apartment;-3974;1;0;0;0;2;1
N;N;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-1570;1;0;0;0;2;1
Y;N;1;Working;Higher education;Married;Rented apartment;-2878;1;0;0;0;3;1
Y;Y;1;Working;Higher education;Separated;House / apartment;-140;1;0;1;0;2;1
Y;N;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-2576;1;0;0;0;2;1
Y;Y;0;State servant;Higher education;Separated;House / apartment;-1905;1;0;0;0;1;1
Y;Y;0;Commercial associate;Higher education;Married;House / apartment;-1724;1;1;0;0;2;1
Y;Y;0;Commercial associate;Higher education;Single / not married;House / apartment;-1724;1;1;0;0;2;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1328;1;0;0;0;2;1
N;N;2;Commercial associate;Secondary / secondary special;Married;House / apartment;-4987;1;0;0;0;4;1
N;Y;2;Working;Incomplete higher;Separated;House / apartment;-3496;1;1;0;0;3;1
Y;N;0;Working;Secondary / secondary special;Married;With parents;-1394;1;0;0;0;2;1
Y;Y;0;Commercial associate;Higher education;Married;House / apartment;-1265;1;0;0;0;2;1
Y;N;0;Working;Higher education;Married;House / apartment;-2531;1;1;1;0;2;1
N;Y;1;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;-2105;1;0;0;0;3;1
N;Y;1;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-860;1;0;0;0;2;1
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-217;1;0;0;0;2;1
Y;Y;2;Working;Secondary / secondary special;Married;House / apartment;-535;1;0;0;0;4;1
N;N;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;1
N;N;1;State servant;Secondary / secondary special;Married;Municipal apartment;-6866;1;0;0;0;3;1
N;N;0;Working;Secondary / secondary special;Widow;Co-op apartment;-584;1;0;0;0;1;1
N;Y;0;Working;Lower secondary;Widow;House / apartment;-2227;1;1;1;0;1;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-8161;1;0;0;0;2;1
Y;N;0;Working;Secondary / secondary special;Single / not married;House / apartment;-613;1;0;0;0;1;1
N;Y;0;Pensioner;Secondary / secondary special;Widow;House / apartment;365243;1;0;0;0;1;1
Y;N;0;Commercial associate;Higher education;Single / not married;Municipal apartment;-606;1;0;1;1;1;1
N;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-6944;1;0;0;0;2;1
N;N;0;Working;Secondary / secondary special;Widow;Municipal apartment;-346;1;0;0;0;1;1
N;N;0;Pensioner;Secondary / secondary special;Widow;House / apartment;365243;1;0;1;0;1;1
Y;N;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;1;0;2;1
N;N;1;Working;Incomplete higher;Married;Rented apartment;-1808;1;1;1;0;3;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-3420;1;0;0;0;2;1
N;Y;0;Working;Secondary / secondary special;Single / not married;House / apartment;-3420;1;0;0;0;2;1
Y;Y;0;Working;Higher education;Single / not married;House / apartment;-863;1;1;0;0;1;1
N;Y;4;Commercial associate;Secondary / secondary special;Married;House / apartment;-7413;1;0;0;0;6;1
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;1
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;1
Y;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;-7553;1;0;0;0;2;1
N;Y;1;Commercial associate;Secondary / secondary special;Married;House / apartment;-3931;1;1;1;0;3;1
N;N;0;Pensioner;Secondary / secondary special;Separated;House / apartment;365243;1;0;1;0;1;1
N;N;0;Pensioner;Secondary / secondary special;Widow;House / apartment;365243;1;0;1;0;1;1
N;N;0;Pensioner;Secondary / secondary special;Married;Municipal apartment;365243;1;0;0;0;2;1
N;N;0;Pensioner;Secondary / secondary special;Single / not married;Municipal apartment;365243;1;0;0;0;2;1
N;N;0;Pensioner;Secondary / secondary special;Married;Municipal apartment;365243;1;0;0;0;2;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1039;1;0;1;0;2;1
N;N;1;Working;Secondary / secondary special;Separated;House / apartment;-134;1;0;0;0;2;1
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;1
Y;Y;0;Working;Lower secondary;Married;House / apartment;-622;1;0;1;0;2;1
N;Y;0;Commercial associate;Secondary / secondary special;Single / not married;Municipal apartment;-1595;1;0;0;0;1;1
Y;N;1;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-1626;1;0;1;0;3;1
N;Y;2;Commercial associate;Lower secondary;Civil marriage;With parents;-1868;1;1;0;0;4;1
N;N;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;1
N;Y;0;Commercial associate;Higher education;Married;House / apartment;-555;1;0;0;0;2;1
N;Y;0;State servant;Higher education;Single / not married;Municipal apartment;-1935;1;0;0;0;1;1
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-931;1;1;1;0;2;1
N;Y;1;Commercial associate;Higher education;Single / not married;House / apartment;-900;1;0;0;0;2;1
Y;Y;2;Commercial associate;Higher education;Married;House / apartment;-4305;1;1;1;0;4;1
Y;Y;2;Commercial associate;Higher education;Married;House / apartment;-4305;1;1;1;0;4;1
Y;Y;1;Working;Secondary / secondary special;Married;House / apartment;-925;1;1;1;0;3;1
N;N;0;Commercial associate;Higher education;Separated;House / apartment;-499;1;0;1;0;1;1
N;Y;0;Commercial associate;Higher education;Separated;House / apartment;-499;1;0;1;0;1;1
N;N;1;Working;Secondary / secondary special;Married;Municipal apartment;-2418;1;0;0;1;3;1
N;Y;0;Pensioner;Higher education;Married;House / apartment;365243;1;0;0;0;2;1
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;1
Y;Y;0;Working;Secondary / secondary special;Single / not married;House / apartment;-189;1;0;0;1;1;1
N;Y;1;Working;Secondary / secondary special;Married;House / apartment;-1132;1;1;1;0;3;1
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1770;1;0;0;0;2;1
N;Y;0;Working;Secondary / secondary special;Widow;House / apartment;-919;1;0;1;0;1;1
Y;N;0;Working;Secondary / secondary special;Married;Office apartment;-1081;1;0;0;0;2;1
Y;N;1;Working;Higher education;Married;House / apartment;-502;1;0;1;1;3;1
Y;N;1;Working;Higher education;Married;House / apartment;-502;1;0;1;1;3;1
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-2420;1;0;0;0;2;1
N;Y;0;Commercial associate;Higher education;Married;House / apartment;-1325;1;0;1;1;2;1
N;Y;0;Pensioner;Higher education;Married;House / apartment;-1325;1;0;1;1;2;1
N;Y;1;Working;Secondary / secondary special;Married;Municipal apartment;-6367;1;1;1;0;3;0
Y;N;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-2484;1;0;0;0;2;0
N;Y;0;Commercial associate;Higher education;Civil marriage;House / apartment;-341;1;0;1;1;2;0
N;Y;0;State servant;Secondary / secondary special;Married;House / apartment;-9422;1;0;1;0;2;0
N;N;1;Working;Secondary / secondary special;Married;House / apartment;-3054;1;0;0;1;3;0
N;Y;1;Commercial associate;Secondary / secondary special;Married;House / apartment;-2987;1;0;0;0;3;0
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-2128;1;0;0;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;365243;1;0;0;0;1;0
N;Y;0;Working;Higher education;Married;House / apartment;-820;1;1;0;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;1;0;2;0
Y;Y;1;Working;Secondary / secondary special;Married;House / apartment;-141;1;1;1;0;3;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;Y;1;Working;Lower secondary;Married;House / apartment;-1692;1;1;0;0;3;0
Y;N;1;Working;Higher education;Married;House / apartment;-4686;1;0;1;0;3;0
Y;Y;0;Commercial associate;Higher education;Married;House / apartment;-1674;1;0;0;1;2;0
N;Y;0;Working;Secondary / secondary special;Single / not married;House / apartment;-693;1;0;0;0;1;0
N;Y;0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-567;1;0;0;0;1;0
N;N;0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-885;1;0;0;0;1;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Married;Rented apartment;365243;1;0;0;0;2;0
N;N;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;Y;1;Working;Academic degree;Single / not married;House / apartment;-2769;1;0;0;0;2;0
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1547;1;0;0;0;2;0
Y;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;N;0;Commercial associate;Secondary / secondary special;Civil marriage;Rented apartment;-3179;1;0;0;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Widow;House / apartment;365243;1;0;0;0;1;0
N;Y;0;Working;Secondary / secondary special;Married;With parents;-5204;1;1;1;0;2;0
N;Y;1;Working;Lower secondary;Widow;House / apartment;-3072;1;0;1;0;2;0
N;Y;2;Working;Secondary / secondary special;Married;House / apartment;-320;1;0;0;0;4;0
N;Y;0;Commercial associate;Higher education;Separated;House / apartment;-2469;1;0;0;0;1;0
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-583;1;0;0;0;2;0
Y;N;0;Working;Secondary / secondary special;Married;House / apartment;-834;1;0;0;0;2;0
Y;N;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-1085;1;0;1;0;2;0
Y;N;2;Commercial associate;Incomplete higher;Married;House / apartment;-1399;1;0;0;1;4;0
N;N;0;Working;Secondary / secondary special;Married;House / apartment;-7310;1;1;1;0;2;0
N;Y;1;Working;Secondary / secondary special;Married;House / apartment;-1748;1;0;0;0;3;0
Y;Y;1;Commercial associate;Higher education;Single / not married;House / apartment;-2479;1;0;0;0;2;0
Y;Y;0;State servant;Secondary / secondary special;Married;Municipal apartment;-875;1;1;0;1;2;0
N;Y;2;Working;Secondary / secondary special;Married;House / apartment;-2805;1;1;1;0;4;0
Y;Y;2;Working;Higher education;Married;House / apartment;-2477;1;0;0;0;4;0
N;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-1477;1;0;0;0;2;0
N;Y;1;Working;Higher education;Single / not married;House / apartment;-1782;1;0;1;0;2;0
N;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-431;1;0;0;0;2;0
N;Y;0;Pensioner;Higher education;Married;House / apartment;365243;1;0;0;0;2;0
Y;N;0;Working;Secondary / secondary special;Married;Municipal apartment;-1416;1;1;0;0;2;0
N;N;0;Pensioner;Higher education;Separated;House / apartment;365243;1;0;0;0;1;0
N;N;2;Working;Incomplete higher;Married;House / apartment;-263;1;0;0;0;4;0
Y;N;0;Commercial associate;Higher education;Separated;House / apartment;-2349;1;0;1;0;1;0
N;Y;0;Pensioner;Higher education;Married;House / apartment;365243;1;0;0;0;2;0
Y;Y;0;Working;Higher education;Married;House / apartment;-412;1;0;0;0;2;0
N;N;2;Working;Secondary / secondary special;Married;House / apartment;-7068;1;0;0;0;4;0
Y;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1787;1;0;0;0;2;0
Y;N;0;Working;Secondary / secondary special;Widow;House / apartment;-1345;1;0;0;0;1;0
Y;Y;0;Working;Higher education;Married;House / apartment;-3717;1;0;0;0;2;0
N;N;0;Working;Secondary / secondary special;Married;House / apartment;-1048;1;1;1;0;2;0
Y;N;1;State servant;Higher education;Married;House / apartment;-2667;1;0;1;0;3;0
Y;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-2606;1;0;0;0;2;0
Y;Y;0;Commercial associate;Secondary / secondary special;Single / not married;Municipal apartment;-2135;1;1;0;0;1;0
N;Y;0;Working;Secondary / secondary special;Separated;House / apartment;-1534;1;0;0;0;1;0
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-2531;1;0;0;0;2;0
Y;Y;1;Working;Higher education;Married;House / apartment;-2311;1;0;0;0;3;0
N;N;2;Commercial associate;Secondary / secondary special;Married;House / apartment;-1323;1;0;1;0;4;0
Y;N;0;Working;Secondary / secondary special;Married;House / apartment;-5061;1;0;1;0;2;0
N;Y;0;Working;Secondary / secondary special;Separated;House / apartment;-2213;1;1;1;1;1;0
Y;Y;0;Commercial associate;Higher education;Single / not married;With parents;-2152;1;0;1;0;1;0
Y;Y;0;Working;Secondary / secondary special;Separated;House / apartment;-925;1;0;0;1;1;0
N;Y;1;Working;Secondary / secondary special;Married;House / apartment;-4509;1;0;0;0;3;0
N;Y;0;Commercial associate;Higher education;Civil marriage;House / apartment;-1552;1;0;0;0;2;0
Y;Y;0;Working;Higher education;Married;House / apartment;-1569;1;0;1;0;2;0
Y;N;0;Pensioner;Higher education;Married;House / apartment;365243;1;0;0;0;2;0
N;Y;1;Working;Secondary / secondary special;Married;House / apartment;-1679;1;0;0;0;3;0
N;N;0;State servant;Secondary / secondary special;Married;House / apartment;-8684;1;1;1;0;2;0
Y;Y;2;Commercial associate;Higher education;Married;House / apartment;-6337;1;0;1;0;4;0
N;N;0;Working;Secondary / secondary special;Married;House / apartment;-97;1;1;0;0;2;0
N;Y;0;Working;Secondary / secondary special;Single / not married;House / apartment;-1222;1;0;0;0;1;0
Y;N;0;Working;Secondary / secondary special;Single / not married;With parents;-531;1;0;0;0;1;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;1;0;2;0
N;N;1;State servant;Secondary / secondary special;Single / not married;House / apartment;-7591;1;0;0;0;2;0
N;Y;2;State servant;Higher education;Married;House / apartment;-5639;1;0;1;0;4;0
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1776;1;0;0;0;2;0
Y;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;N;0;Working;Secondary / secondary special;Married;House / apartment;-5498;1;1;1;0;2;0
Y;N;0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;365243;1;0;0;0;1;0
N;Y;0;Commercial associate;Lower secondary;Married;Rented apartment;-1935;1;0;1;0;2;0
Y;N;0;State servant;Secondary / secondary special;Widow;House / apartment;-5880;1;0;0;0;1;0
Y;Y;2;Working;Higher education;Married;House / apartment;-460;1;0;0;0;4;0
N;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-1569;1;1;1;0;2;0
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-4532;1;0;0;0;2;0
Y;N;0;Working;Secondary / secondary special;Single / not married;With parents;-3309;1;0;0;0;1;0
Y;Y;0;State servant;Secondary / secondary special;Married;House / apartment;-3873;1;0;0;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;N;0;Working;Higher education;Married;House / apartment;-344;1;0;0;0;2;0
Y;N;0;State servant;Higher education;Married;House / apartment;-1923;1;0;0;0;2;0
N;N;1;Commercial associate;Secondary / secondary special;Married;House / apartment;-604;1;0;0;0;3;0
Y;Y;0;Working;Higher education;Separated;House / apartment;-584;1;0;0;0;1;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;N;1;Commercial associate;Higher education;Civil marriage;House / apartment;-1922;1;0;0;0;3;0
N;Y;2;Working;Secondary / secondary special;Single / not married;House / apartment;-1496;1;0;0;0;3;0
Y;Y;1;State servant;Higher education;Married;House / apartment;-708;1;0;1;1;3;0
N;N;0;State servant;Secondary / secondary special;Separated;House / apartment;-12332;1;0;1;1;1;0
N;N;0;Working;Secondary / secondary special;Married;With parents;-622;1;1;1;0;2;0
N;N;0;Commercial associate;Higher education;Single / not married;House / apartment;-5209;1;0;0;0;1;0
Y;Y;0;Pensioner;Higher education;Widow;House / apartment;365243;1;0;1;0;1;0
N;Y;0;Pensioner;Lower secondary;Married;House / apartment;365243;1;0;0;0;2;0
N;Y;0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;-6273;1;1;0;0;1;0
Y;N;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-2722;1;0;0;0;2;0
N;N;0;State servant;Secondary / secondary special;Married;With parents;-9363;1;0;0;0;2;0
N;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-746;1;0;0;0;2;0
N;N;0;Working;Secondary / secondary special;Single / not married;With parents;-1039;1;0;0;0;1;0
Y;N;0;Working;Secondary / secondary special;Single / not married;House / apartment;-1322;1;0;0;0;1;0
N;Y;0;Commercial associate;Incomplete higher;Married;House / apartment;-3458;1;1;1;0;2;0
N;N;0;Working;Secondary / secondary special;Civil marriage;House / apartment;-158;1;1;0;0;2;0
Y;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-2457;1;0;0;0;2;0
N;Y;2;Commercial associate;Incomplete higher;Separated;House / apartment;-2811;1;0;0;0;3;0
N;N;3;Working;Higher education;Married;House / apartment;-7018;1;0;0;0;5;0
Y;Y;0;Commercial associate;Secondary / secondary special;Married;Rented apartment;-2026;1;0;0;0;2;0
N;Y;0;Working;Secondary / secondary special;Single / not married;House / apartment;-188;1;0;0;0;2;0
N;Y;1;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;-2967;1;0;0;0;3;0
N;N;1;Commercial associate;Secondary / secondary special;Separated;House / apartment;-3166;1;0;0;0;2;0
N;N;1;Working;Secondary / secondary special;Married;House / apartment;-5107;1;1;0;0;3;0
Y;N;0;Working;Secondary / secondary special;Married;House / apartment;-1649;1;0;0;0;2;0
N;Y;1;Working;Secondary / secondary special;Married;House / apartment;-3694;1;0;0;1;3;0
N;Y;2;Commercial associate;Higher education;Civil marriage;House / apartment;-3697;1;0;0;0;4;0
Y;Y;1;Working;Secondary / secondary special;Married;House / apartment;-4596;1;0;0;0;3;0
N;N;2;Working;Secondary / secondary special;Married;Municipal apartment;-5674;1;1;1;0;4;0
N;N;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-1682;1;0;0;0;2;0
N;N;0;Working;Higher education;Married;House / apartment;-196;1;0;0;0;2;0
N;N;0;Commercial associate;Secondary / secondary special;Single / not married;With parents;-530;1;0;0;0;1;0
Y;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-1696;1;0;0;0;2;0
Y;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-2168;1;0;0;0;2;0
N;N;0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;365243;1;0;0;0;1;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
Y;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;1;0;2;0
N;N;0;Working;Secondary / secondary special;Married;House / apartment;-1649;1;0;0;0;2;0
N;Y;0;State servant;Higher education;Married;House / apartment;-13382;1;0;0;0;2;0
N;Y;0;Working;Secondary / secondary special;Single / not married;House / apartment;-1509;1;1;1;0;1;0
N;Y;0;Commercial associate;Higher education;Separated;Rented apartment;-1347;1;0;0;0;1;0
N;Y;0;Working;Secondary / secondary special;Married;House / apartment;-1405;1;0;0;1;2;0
Y;N;0;Working;Secondary / secondary special;Married;House / apartment;-227;1;1;1;0;2;0
N;Y;0;Working;Secondary / secondary special;Widow;House / apartment;-9975;1;0;0;0;1;0
N;N;0;Commercial associate;Higher education;Single / not married;House / apartment;-1505;1;0;0;0;1;0
Y;N;0;Working;Higher education;Married;House / apartment;-5084;1;0;0;0;2;0
Y;N;0;Working;Higher education;Married;House / apartment;-2905;1;0;0;0;2;0
Y;N;2;Working;Incomplete higher;Married;House / apartment;-2213;1;0;0;0;4;0
Y;Y;0;Working;Higher education;Married;House / apartment;-356;1;0;0;0;2;0
N;N;0;Working;Secondary / secondary special;Married;House / apartment;-1719;1;1;1;0;2;0
N;Y;0;Working;Secondary / secondary special;Married;Municipal apartment;-3680;1;0;0;0;2;0
Y;Y;0;Commercial associate;Secondary / secondary special;Married;House / apartment;-962;1;0;1;0;2;0
N;N;0;Working;Higher education;Separated;House / apartment;-3000;1;0;0;0;1;0
Y;N;0;State servant;Secondary / secondary special;Married;House / apartment;-4275;1;1;1;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Separated;House / apartment;365243;1;0;1;0;1;0
Y;N;0;Working;Secondary / secondary special;Married;House / apartment;-110;1;0;0;0;2;0
N;Y;0;Working;Secondary / secondary special;Widow;House / apartment;-2078;1;1;1;0;1;0
Y;Y;0;Working;Secondary / secondary special;Civil marriage;House / apartment;-8377;1;0;0;0;2;0
N;N;1;Commercial associate;Higher education;Married;House / apartment;-110;1;0;1;0;3;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
N;Y;0;Pensioner;Secondary / secondary special;Widow;House / apartment;365243;1;0;0;0;1;0
N;Y;0;Pensioner;Secondary / secondary special;Married;House / apartment;365243;1;0;0;0;2;0
Y;N;0;Working;Secondary / secondary special;Married;House / apartment;-4392;1;1;1;0;2;0
N;Y;1;Commercial associate;Higher education;Married;House / apartment;-126;1;0;0;0;3;0
Y;Y;0;Working;Higher education;Separated;With parents;-7640;1;0;0;1;1;0
N;Y;0;Commercial associate;Secondary / secondary special;Separated;House / apartment;-3153;1;0;0;0;1;0
N;Y;0;Working;Secondary / secondary special;Civil marriage;With parents;-139;1;1;1;0;2;0
Y;N;1;Working;Higher education;Widow;House / apartment;-4023;1;0;0;1;2;0
